date,symbol,weight,strategy
2018-11-19,159915.SZ,0.1,momentum_top_quantile
2018-11-19,159928.SZ,0.1,momentum_top_quantile
2018-11-19,510500.SH,0.1,momentum_top_quantile
2018-11-19,512100.SH,0.1,momentum_top_quantile
2018-11-19,512660.SH,0.1,momentum_top_quantile
2018-11-19,512880.SH,0.1,momentum_top_quantile
2018-11-26,159920.SZ,0.1,momentum_top_quantile
2018-11-26,159928.SZ,0.1,momentum_top_quantile
2018-11-26,161226.SZ,0.1,momentum_top_quantile
2018-11-26,511880.SH,0.1,momentum_top_quantile
2018-11-26,512880.SH,0.1,momentum_top_quantile
2018-11-26,518880.SH,0.1,momentum_top_quantile
2018-12-03,159920.SZ,0.1,momentum_top_quantile
2018-12-03,159941.SZ,0.1,momentum_top_quantile
2018-12-03,511880.SH,0.1,momentum_top_quantile
2018-12-03,513030.SH,0.1,momentum_top_quantile
2018-12-03,513500.SH,0.1,momentum_top_quantile
2018-12-03,518880.SH,0.1,momentum_top_quantile
2018-12-10,159915.SZ,0.1,momentum_top_quantile
2018-12-10,159928.SZ,0.1,momentum_top_quantile
2018-12-10,510300.SH,0.1,momentum_top_quantile
2018-12-10,510500.SH,0.1,momentum_top_quantile
2018-12-10,510880.SH,0.1,momentum_top_quantile
2018-12-10,512100.SH,0.1,momentum_top_quantile
2018-12-17,159920.SZ,0.1,momentum_top_quantile
2018-12-17,159928.SZ,0.1,momentum_top_quantile
2018-12-17,159941.SZ,0.1,momentum_top_quantile
2018-12-17,161226.SZ,0.1,momentum_top_quantile
2018-12-17,510300.SH,0.1,momentum_top_quantile
2018-12-17,510880.SH,0.1,momentum_top_quantile
2018-12-24,161226.SZ,0.1,momentum_top_quantile
2018-12-24,510880.SH,0.1,momentum_top_quantile
2018-12-24,511010.SH,0.1,momentum_top_quantile
2018-12-24,511880.SH,0.1,momentum_top_quantile
2018-12-24,513030.SH,0.1,momentum_top_quantile
2018-12-24,518880.SH,0.1,momentum_top_quantile
2019-01-02,159920.SZ,0.1,momentum_top_quantile
2019-01-02,161226.SZ,0.1,momentum_top_quantile
2019-01-02,511010.SH,0.1,momentum_top_quantile
2019-01-02,511880.SH,0.1,momentum_top_quantile
2019-01-02,513030.SH,0.1,momentum_top_quantile
2019-01-02,518880.SH,0.1,momentum_top_quantile
2019-01-07,159941.SZ,0.1,momentum_top_quantile
2019-01-07,161226.SZ,0.1,momentum_top_quantile
2019-01-07,162411.SZ,0.1,momentum_top_quantile
2019-01-07,512880.SH,0.1,momentum_top_quantile
2019-01-07,513500.SH,0.1,momentum_top_quantile
2019-01-07,518880.SH,0.1,momentum_top_quantile
2019-01-14,159920.SZ,0.1,momentum_top_quantile
2019-01-14,159941.SZ,0.1,momentum_top_quantile
2019-01-14,162411.SZ,0.1,momentum_top_quantile
2019-01-14,510500.SH,0.1,momentum_top_quantile
2019-01-14,512100.SH,0.1,momentum_top_quantile
2019-01-14,512880.SH,0.1,momentum_top_quantile
2019-01-21,159928.SZ,0.1,momentum_top_quantile
2019-01-21,159941.SZ,0.1,momentum_top_quantile
2019-01-21,510300.SH,0.1,momentum_top_quantile
2019-01-21,510880.SH,0.1,momentum_top_quantile
2019-01-21,512880.SH,0.1,momentum_top_quantile
2019-01-21,513500.SH,0.1,momentum_top_quantile
2019-01-28,159920.SZ,0.1,momentum_top_quantile
2019-01-28,159928.SZ,0.1,momentum_top_quantile
2019-01-28,510300.SH,0.1,momentum_top_quantile
2019-01-28,510880.SH,0.1,momentum_top_quantile
2019-01-28,512660.SH,0.1,momentum_top_quantile
2019-01-28,513500.SH,0.1,momentum_top_quantile
2019-02-11,159920.SZ,0.1,momentum_top_quantile
2019-02-11,159941.SZ,0.1,momentum_top_quantile
2019-02-11,161226.SZ,0.1,momentum_top_quantile
2019-02-11,162411.SZ,0.1,momentum_top_quantile
2019-02-11,510300.SH,0.1,momentum_top_quantile
2019-02-11,518880.SH,0.1,momentum_top_quantile
2019-02-18,159915.SZ,0.1,momentum_top_quantile
2019-02-18,159928.SZ,0.1,momentum_top_quantile
2019-02-18,510500.SH,0.1,momentum_top_quantile
2019-02-18,512100.SH,0.1,momentum_top_quantile
2019-02-18,512660.SH,0.1,momentum_top_quantile
2019-02-18,512880.SH,0.1,momentum_top_quantile
2019-02-25,159915.SZ,0.1,momentum_top_quantile
2019-02-25,162411.SZ,0.1,momentum_top_quantile
2019-02-25,510500.SH,0.1,momentum_top_quantile
2019-02-25,512100.SH,0.1,momentum_top_quantile
2019-02-25,512660.SH,0.1,momentum_top_quantile
2019-02-25,512880.SH,0.1,momentum_top_quantile
2019-03-04,159915.SZ,0.1,momentum_top_quantile
2019-03-04,510300.SH,0.1,momentum_top_quantile
2019-03-04,510500.SH,0.1,momentum_top_quantile
2019-03-04,512100.SH,0.1,momentum_top_quantile
2019-03-04,512660.SH,0.1,momentum_top_quantile
2019-03-04,512880.SH,0.1,momentum_top_quantile
2019-03-11,159915.SZ,0.1,momentum_top_quantile
2019-03-11,510500.SH,0.1,momentum_top_quantile
2019-03-11,510880.SH,0.1,momentum_top_quantile
2019-03-11,512100.SH,0.1,momentum_top_quantile
2019-03-11,512660.SH,0.1,momentum_top_quantile
2019-03-11,512880.SH,0.1,momentum_top_quantile
2019-03-18,159920.SZ,0.1,momentum_top_quantile
2019-03-18,159928.SZ,0.1,momentum_top_quantile
2019-03-18,159941.SZ,0.1,momentum_top_quantile
2019-03-18,162411.SZ,0.1,momentum_top_quantile
2019-03-18,513500.SH,0.1,momentum_top_quantile
2019-03-18,518880.SH,0.1,momentum_top_quantile
2019-03-25,159928.SZ,0.1,momentum_top_quantile
2019-03-25,510300.SH,0.1,momentum_top_quantile
2019-03-25,510500.SH,0.1,momentum_top_quantile
2019-03-25,510880.SH,0.1,momentum_top_quantile
2019-03-25,512100.SH,0.1,momentum_top_quantile
2019-03-25,512880.SH,0.1,momentum_top_quantile
2019-04-01,159928.SZ,0.1,momentum_top_quantile
2019-04-01,162411.SZ,0.1,momentum_top_quantile
2019-04-01,511010.SH,0.1,momentum_top_quantile
2019-04-01,511880.SH,0.1,momentum_top_quantile
2019-04-01,513500.SH,0.1,momentum_top_quantile
2019-04-01,518880.SH,0.1,momentum_top_quantile
2019-04-08,159915.SZ,0.1,momentum_top_quantile
2019-04-08,159928.SZ,0.1,momentum_top_quantile
2019-04-08,510300.SH,0.1,momentum_top_quantile
2019-04-08,512100.SH,0.1,momentum_top_quantile
2019-04-08,512660.SH,0.1,momentum_top_quantile
2019-04-08,512880.SH,0.1,momentum_top_quantile
2019-04-15,159941.SZ,0.1,momentum_top_quantile
2019-04-15,162411.SZ,0.1,momentum_top_quantile
2019-04-15,510880.SH,0.1,momentum_top_quantile
2019-04-15,513030.SH,0.1,momentum_top_quantile
2019-04-15,513500.SH,0.1,momentum_top_quantile
2019-04-15,518880.SH,0.1,momentum_top_quantile
2019-04-22,159915.SZ,0.1,momentum_top_quantile
2019-04-22,159928.SZ,0.1,momentum_top_quantile
2019-04-22,510300.SH,0.1,momentum_top_quantile
2019-04-22,512100.SH,0.1,momentum_top_quantile
2019-04-22,512660.SH,0.1,momentum_top_quantile
2019-04-22,513030.SH,0.1,momentum_top_quantile
2019-04-29,159941.SZ,0.1,momentum_top_quantile
2019-04-29,161226.SZ,0.1,momentum_top_quantile
2019-04-29,162411.SZ,0.1,momentum_top_quantile
2019-04-29,513030.SH,0.1,momentum_top_quantile
2019-04-29,513500.SH,0.1,momentum_top_quantile
2019-04-29,518880.SH,0.1,momentum_top_quantile
